"","actor_name","http_link"
"442","Prem Nazir","https://en.wikipedia.org//wiki/Prem_Nazir"
"443","Prithviraj Ballireddy","https://en.wikipedia.org//wiki/Prithviraj_(Telugu_actor)"
"444","Prithviraj Kapoor","https://en.wikipedia.org//wiki/Prithviraj_Kapoor"
"445","Prithviraj Sukumaran","https://en.wikipedia.org//wiki/Prithviraj_Sukumaran"
"446","Puneet Issar","https://en.wikipedia.org//wiki/Puneet_Issar"
"447","Puneet Rajkumar","https://en.wikipedia.org//wiki/Puneet_Rajkumar"
"448","Puri Jagannadh","https://en.wikipedia.org//wiki/Puri_Jagannadh"
"449","Raaj Kumar","https://en.wikipedia.org//wiki/Raaj_Kumar"
"450","Raghavendra Rajkumar","https://en.wikipedia.org//wiki/Raghavendra_Rajkumar"
"451","Raghu Babu","https://en.wikipedia.org//wiki/Raghu_Babu"
"452","Raghu Mukherjee","https://en.wikipedia.org//wiki/Raghu_Mukherjee"
"453","Raghuvaran","https://en.wikipedia.org//wiki/Raghuvaran"
"454","Rahman","https://en.wikipedia.org//wiki/Rahman_(actor)"
"455","Rahul Verma","https://en.wikipedia.org//wiki/Rahul_Verma_(actor)"
"456","Rahul Roy","https://en.wikipedia.org//wiki/Rahul_Roy"
"457","Rahul Bose","https://en.wikipedia.org//wiki/Rahul_Bose"
"458","Rahul Dev","https://en.wikipedia.org//wiki/Rahul_Dev"
"459","Raj Babbar","https://en.wikipedia.org//wiki/Raj_Babbar"
"460","Raj Kapoor","https://en.wikipedia.org//wiki/Raj_Kapoor"
"461","Rajkummar Rao","https://en.wikipedia.org//wiki/Rajkummar_Rao"
"462","Rajat Barmecha","https://en.wikipedia.org//wiki/Rajat_Barmecha"
"463","Rajendra Kumar","https://en.wikipedia.org//wiki/Rajendra_Kumar"
"464","Rajendra Nath","https://en.wikipedia.org//wiki/Rajendra_Nath"
"465","Rajesh (Kala Thapaswi)","https://en.wikipedia.org//wiki/Rajesh_(Kannada_actor)"
"466","Rajesh Khanna","https://en.wikipedia.org//wiki/Rajesh_Khanna"
"467","Rajesh Khattar","https://en.wikipedia.org//wiki/Rajesh_Khattar"
"468","Rajesh Krishnan","https://en.wikipedia.org//wiki/Rajesh_Krishnan"
"469","Rajit Kapoor","https://en.wikipedia.org//wiki/Rajit_Kapoor"
"470","Rajinikanth","https://en.wikipedia.org//wiki/Rajinikanth"
"471","Rajiv Kanakala","https://en.wikipedia.org//wiki/Rajiv_Kanakala"
"472","Rajiv Kapoor","https://en.wikipedia.org//wiki/Rajiv_Kapoor"
"473","Rajkumar","https://en.wikipedia.org//wiki/Rajkumar_(actor)"
"474","Rajneesh Duggal","https://en.wikipedia.org//wiki/Rajneesh_Duggal"
"475","Rajpal Yadav","https://en.wikipedia.org//wiki/Rajpal_Yadav"
"476","Raju Srivastav","https://en.wikipedia.org//wiki/Raju_Srivastav"
"477","Rakesh Bedi","https://en.wikipedia.org//wiki/Rakesh_Bedi"
"478","Rakesh Roshan","https://en.wikipedia.org//wiki/Rakesh_Roshan"
"479","Ramki","https://en.wikipedia.org//wiki/Ramki_(actor)"
"480","Ram Charan Teja","https://en.wikipedia.org//wiki/Ram_Charan_Teja"
"481","Ram Pothineni","https://en.wikipedia.org//wiki/Ram_Pothineni"
"482","Ramakrishna","https://en.wikipedia.org//wiki/Ramakrishna_(Kannada_actor)"
"483","Ramesh Aravind","https://en.wikipedia.org//wiki/Ramesh_Aravind"
"484","Ramesh Babu","https://en.wikipedia.org//wiki/Ramesh_Babu"
"485","Ramesh Bhat","https://en.wikipedia.org//wiki/Ramesh_Bhat"
"486","Ramesh Deo","https://en.wikipedia.org//wiki/Ramesh_Deo"
"487","Ramesh Khanna","https://en.wikipedia.org//wiki/Ramesh_Khanna"
"488","Ranbir Kapoor","https://en.wikipedia.org//wiki/Ranbir_Kapoor"
"489","Randeep Hooda","https://en.wikipedia.org//wiki/Randeep_Hooda"
"490","Randhir Kapoor","https://en.wikipedia.org//wiki/Randhir_Kapoor"
"491","Ranveer Singh","https://en.wikipedia.org//wiki/Ranveer_Singh"
"492","Ranvir Shorey","https://en.wikipedia.org//wiki/Ranvir_Shorey"
"493","Ravi Babu","https://en.wikipedia.org//wiki/Ravi_Babu"
"494","Ravi Kishan","https://en.wikipedia.org//wiki/Ravi_Kishan"
"495","Ravi Prakash","https://en.wikipedia.org//wiki/Ravi_Prakash"
"496","Ravi Shankar","https://en.wikipedia.org//wiki/P._Ravi_Shankar"
"497","Ravi Teja","https://en.wikipedia.org//wiki/Ravi_Teja"
"498","Ravichandran","https://en.wikipedia.org//wiki/Ravichandran_(Tamil_actor)"
"499","Ravichandran Veeraswamy","https://en.wikipedia.org//wiki/V._Ravichandran"
"500","Raza Murad","https://en.wikipedia.org//wiki/Raza_Murad"
"501","Richard Rishi","https://en.wikipedia.org//wiki/Richard_Rishi"
"502","Rishi Kapoor","https://en.wikipedia.org//wiki/Rishi_Kapoor"
"503","Riteish Deshmukh","https://en.wikipedia.org//wiki/Riteish_Deshmukh"
"504","Riyaz Khan","https://en.wikipedia.org//wiki/Riyaz_Khan"
"505","Rockline Venkatesh","https://en.wikipedia.org//wiki/Rockline_Venkatesh"
"506","Rohit Roy","https://en.wikipedia.org//wiki/Rohit_Roy"
"507","Ronit Roy","https://en.wikipedia.org//wiki/Ronit_Roy"
"508","Roshan Seth","https://en.wikipedia.org//wiki/Roshan_Seth"
"509","S. Narayan","https://en.wikipedia.org//wiki/S._Narayan"
"510","S. J. Suryaah","https://en.wikipedia.org//wiki/S._J._Suryaah"
"511","S. P. Balasubrahmanyam","https://en.wikipedia.org//wiki/S._P._Balasubrahmanyam"
"512","S. P. B. Charan","https://en.wikipedia.org//wiki/S._P._B._Charan"
"513","S. Shankar","https://en.wikipedia.org//wiki/S._Shankar"
"514","S. V. Ranga Rao","https://en.wikipedia.org//wiki/S._V._Ranga_Rao"
"515","Saandip","https://en.wikipedia.org//wiki/Saandip"
"516","Sachet Engineer","https://en.wikipedia.org//wiki/Sachet_Engineer"
"517","Sachin Pilgaonkar","https://en.wikipedia.org//wiki/Sachin_Pilgaonkar"
"518","Sachin Khedekar","https://en.wikipedia.org//wiki/Sachin_Khedekar"
"519","Sachin Pilot","https://en.wikipedia.org//wiki/Sachin_Pilot"
"520","Sadhu Kokila","https://en.wikipedia.org//wiki/Sadhu_Kokila"
"521","Saeed Jaffrey","https://en.wikipedia.org//wiki/Saeed_Jaffrey"
"522","Sahil Khan","https://en.wikipedia.org//wiki/Sahil_Khan"
"523","Sahil Shroff","https://en.wikipedia.org//wiki/Sahil_Shroff"
"524","Sai Kumar","https://en.wikipedia.org//wiki/Sai_Kumar_(Kannada_actor)"
"525","Saikumar","https://en.wikipedia.org//wiki/Saikumar_(Malayalam_actor)"
"526","Saif Ali Khan","https://en.wikipedia.org//wiki/Saif_Ali_Khan"
"527","Sajid Khan","https://en.wikipedia.org//wiki/Sajid_Khan"
"528","Saleem Kumar","https://en.wikipedia.org//wiki/Saleem_Kumar"
"529","Salim Khan","https://en.wikipedia.org//wiki/Salim_Khan"
"530","Salman Khan","https://en.wikipedia.org//wiki/Salman_Khan"
"531","Sameer Dattani","https://en.wikipedia.org//wiki/Sameer_Dattani"
"532","Samir Soni","https://en.wikipedia.org//wiki/Samir_Soni"
"533","Sampath Raj","https://en.wikipedia.org//wiki/Sampath_Raj"
"534","Sandeep Kulkarni","https://en.wikipedia.org//wiki/Sandeep_Kulkarni"
"535","Sanjay Dutt","https://en.wikipedia.org//wiki/Sanjay_Dutt"
"536","Sanjay Kapoor","https://en.wikipedia.org//wiki/Sanjay_Kapoor"
"537","Sanjay Khan","https://en.wikipedia.org//wiki/Sanjay_Khan"
"538","Sanjay Suri","https://en.wikipedia.org//wiki/Sanjay_Suri"
"539","Sanjeev Kumar","https://en.wikipedia.org//wiki/Sanjeev_Kumar"
"540","Sankaradi","https://en.wikipedia.org//wiki/Sankaradi"
"541","Santhanam","https://en.wikipedia.org//wiki/Santhanam_(actor)"
"542","Sapru","https://en.wikipedia.org//wiki/Sapru_(actor)"
"543","Sarath Babu","https://en.wikipedia.org//wiki/Sarath_Babu"
"544","Sarath Kumar","https://en.wikipedia.org//wiki/Sarath_Kumar"
"545","Sarfaraz khan","https://en.wikipedia.org//wiki/Sarfaraz_khan"
"546","Sathyaraj","https://en.wikipedia.org//wiki/Sathyaraj"
"547","Sathyan Nadar","https://en.wikipedia.org//wiki/Sathyan_(actor)"
"548","Sathyan Sivakumar","https://en.wikipedia.org//wiki/Sathyan_(Tamil_actor)"
"549","Satish Shah","https://en.wikipedia.org//wiki/Satish_Shah"
"550","Sathish Ninasam","https://en.wikipedia.org//wiki/Sathish_Ninasam"
"551","Satyajeet Puri","https://en.wikipedia.org//wiki/Satyajeet_Puri"
"552","Sayaji Shinde","https://en.wikipedia.org//wiki/Sayaji_Shinde"
"553","Senthil","https://en.wikipedia.org//wiki/Senthil_(actor)"
"554","Shaam","https://en.wikipedia.org//wiki/Shaam"
"555","Shahid Kapoor","https://en.wikipedia.org//wiki/Shahid_Kapoor"
"556","Shah Rukh Khan","https://en.wikipedia.org//wiki/Shah_Rukh_Khan"
"557","Shammi Kapoor","https://en.wikipedia.org//wiki/Shammi_Kapoor"
"558","Shankar","https://en.wikipedia.org//wiki/Shankar_(actor)"
"559","Shankar Nag","https://en.wikipedia.org//wiki/Shankar_Nag"
"560","Sharad Kelkar","https://en.wikipedia.org//wiki/Sharad_Kelkar"
"561","Sharad Talwalkar","https://en.wikipedia.org//wiki/Sharad_Talwalkar"
"562","Sharath Babu","https://en.wikipedia.org//wiki/Sharath_Babu"
"563","Sharath Kumar","https://en.wikipedia.org//wiki/Sharath_Kumar"
"564","Sharath Lohitashwa","https://en.wikipedia.org//wiki/Sharath_Lohitashwa"
"565","Sharman Joshi","https://en.wikipedia.org//wiki/Sharman_Joshi"
"566","Shashank shende","https://en.wikipedia.org//wiki/Shashank_shende"
"567","Shashi Kapoor","https://en.wikipedia.org//wiki/Shashi_Kapoor"
"568","Shashikumar","https://en.wikipedia.org//wiki/Shashikumar"
"569","Shatrughan Sinha","https://en.wikipedia.org//wiki/Shatrughan_Sinha"
"570","Shehzad Khan","https://en.wikipedia.org//wiki/Shehzad_Khan"
"571","Shekhar Suman","https://en.wikipedia.org//wiki/Shekhar_Suman"
"572","Shiny Ahuja","https://en.wikipedia.org//wiki/Shiny_Ahuja"
"573","Shirish Kunder","https://en.wikipedia.org//wiki/Shirish_Kunder"
"574","Shivarajkumar","https://en.wikipedia.org//wiki/Shivarajkumar"
"575","Shreela Ghosh","https://en.wikipedia.org//wiki/Shreela_Ghosh"
"576","Shreyas Talpade","https://en.wikipedia.org//wiki/Shreyas_Talpade"
"577","Shriram Lagoo","https://en.wikipedia.org//wiki/Shriram_Lagoo"
"578","Sibiraj","https://en.wikipedia.org//wiki/Sibiraj"
"579","Siddhanta Mahapatra","https://en.wikipedia.org//wiki/Siddhanta_Mahapatra"
"580","Siddharth Koirala","https://en.wikipedia.org//wiki/Siddharth_Koirala"
"581","Sidharth Malhotra","https://en.wikipedia.org//wiki/Sidharth_Malhotra"
"582","Siddharth Narayan","https://en.wikipedia.org//wiki/Siddharth_Narayan"
"583","Siddharth Roy Kapur","https://en.wikipedia.org//wiki/Siddharth_Roy_Kapur"
"584","Silambarasan Rajendar","https://en.wikipedia.org//wiki/Silambarasan_Rajendar"
"585","Sihi Kahi Chandru","https://en.wikipedia.org//wiki/Sihi_Kahi_Chandru"
"586","Sikandar Kher","https://en.wikipedia.org//wiki/Sikandar_Kher"
"587","Siva Reddy","https://en.wikipedia.org//wiki/Siva_Reddy"
"588","Sivaji Ganesan","https://en.wikipedia.org//wiki/Sivaji_Ganesan"
"589","Sivakarthikeyan","https://en.wikipedia.org//wiki/Sivakarthikeyan"
"590","Sivakumar","https://en.wikipedia.org//wiki/Sivakumar"
"591","Sobhan Babu","https://en.wikipedia.org//wiki/Sobhan_Babu"
"592","Sohail Khan","https://en.wikipedia.org//wiki/Sohail_Khan"
"593","Soham Chakraborty","https://en.wikipedia.org//wiki/Soham_Chakraborty"
"594","Sohrab Modi","https://en.wikipedia.org//wiki/Sohrab_Modi"
"595","Sonu Nigam","https://en.wikipedia.org//wiki/Sonu_Nigam"
"596","Sonu Sood","https://en.wikipedia.org//wiki/Sonu_Sood"
"597","Sooraj Pancholi","https://en.wikipedia.org//wiki/Sooraj_Pancholi_(actor)"
"598","Sreenivasan","https://en.wikipedia.org//wiki/Sreenivasan_(actor)"
"599","Sri Murali","https://en.wikipedia.org//wiki/Sri_Murali"
"600","Sridhar","https://en.wikipedia.org//wiki/Sridhar_(Kannada_actor)"
"601","Srihari","https://en.wikipedia.org//wiki/Raghumudri_Srihari"
