"","actresses_name","http_link"
"204","Ileana D'Cruz","https://en.wikipedia.org//wiki/Ileana_D%27Cruz"
"205","Jacqueline Fernandez","https://en.wikipedia.org//wiki/Jacqueline_Fernandez"
"206","Jayabharathi","https://en.wikipedia.org//wiki/Jayabharathi"
"207","Jayachitra","https://en.wikipedia.org//wiki/Jayachitra"
"208","Jayalalithaa","https://en.wikipedia.org//wiki/Jayalalithaa"
"209","Jaya Bachchan","https://en.wikipedia.org//wiki/Jaya_Bachchan"
"210","Jaya Prada","https://en.wikipedia.org//wiki/Jaya_Prada"
"211","Jaya Re","https://en.wikipedia.org//wiki/Jaya_Re"
"212","Jaya Seal","https://en.wikipedia.org//wiki/Jaya_Seal"
"213","Jayasudha","https://en.wikipedia.org//wiki/Jayasudha"
"214","Jayamala","https://en.wikipedia.org//wiki/Jayamala"
"215","Jayamalini","https://en.wikipedia.org//wiki/Jayamalini"
"216","Jennifer Kotwal","https://en.wikipedia.org//wiki/Jennifer_Kotwal"
"217","Jharana Bajracharya","https://en.wikipedia.org//wiki/Jharana_Bajracharya"
"218","Jiah Khan","https://en.wikipedia.org//wiki/Jiah_Khan"
"219","Jugnu Ishiqui","https://en.wikipedia.org//wiki/Jugnu_Ishiqui"
"220","Juhi Chawla","https://en.wikipedia.org//wiki/Juhi_Chawla"
"221","Juhi Babbar","https://en.wikipedia.org//wiki/Juhi_Babbar"
"222","Jyothika","https://en.wikipedia.org//wiki/Jyothika"
"223","Kajal Aggarwal","https://en.wikipedia.org//wiki/Kajal_Aggarwal"
"224","Kajal Kiran","https://en.wikipedia.org//wiki/Kajal_Kiran"
"225","Kajol","https://en.wikipedia.org//wiki/Kajol"
"226","Kalki Koechlin","https://en.wikipedia.org//wiki/Kalki_Koechlin"
"227","Kalpana (Kannada actress)","https://en.wikipedia.org//wiki/Kalpana_(Kannada_actress)"
"228","Kalpana (Hindi Film actress)","https://en.wikipedia.org//wiki/Kalpana_(Hindi_Film_actress)"
"229","Kalpana (Malayalam actress)","https://en.wikipedia.org//wiki/Kalpana_(Malayalam_actress)"
"230","Kalpana Iyer","https://en.wikipedia.org//wiki/Kalpana_Iyer"
"231","Kalpana Kartik","https://en.wikipedia.org//wiki/Kalpana_Kartik"
"232","Kamini Kaushal","https://en.wikipedia.org//wiki/Kamini_Kaushal"
"233","Kamalinee Mukherjee","https://en.wikipedia.org//wiki/Kamalinee_Mukherjee"
"234","Kamna Jethmalani","https://en.wikipedia.org//wiki/Kamna_Jethmalani"
"235","Kanaka","https://en.wikipedia.org//wiki/Kanaka_(actress)"
"236","Kanakam","https://en.wikipedia.org//wiki/Kanakam"
"237","Kanchana","https://en.wikipedia.org//wiki/Kanchana_(actress)"
"238","Kangana Ranaut","https://en.wikipedia.org//wiki/Kangana_Ranaut"
"239","Kanika Subramaniam","https://en.wikipedia.org//wiki/Kanika_Subramaniam"
"240","Kareena Kapoor","https://en.wikipedia.org//wiki/Kareena_Kapoor"
"241","Karishma Kapoor","https://en.wikipedia.org//wiki/Karishma_Kapoor"
"242","Karishma Tanna","https://en.wikipedia.org//wiki/Karishma_Tanna"
"243","Karthika","https://en.wikipedia.org//wiki/Karthika_(actress)"
"244","Karthika Mathew","https://en.wikipedia.org//wiki/Karthika_Mathew"
"245","Karthika Nair","https://en.wikipedia.org//wiki/Karthika_Nair"
"246","Katrina Kaif","https://en.wikipedia.org//wiki/Katrina_Kaif"
"247","Kashmira Shah","https://en.wikipedia.org//wiki/Kashmira_Shah"
"248","Kausalya","https://en.wikipedia.org//wiki/Kausalya_(actress)"
"249","Kaviyoor Ponnamma","https://en.wikipedia.org//wiki/Kaviyoor_Ponnamma"
"250","Kavya Madhavan","https://en.wikipedia.org//wiki/Kavya_Madhavan"
"251","Keerthi Reddy","https://en.wikipedia.org//wiki/Keerthi_Reddy"
"252","Keerthi Suresh","https://en.wikipedia.org//wiki/Keerthi_Suresh"
"253","Khursheed","https://en.wikipedia.org//wiki/Khursheed"
"254","Kimi Katkar","https://en.wikipedia.org//wiki/Kimi_Katkar"
"255","Kimi Verma","https://en.wikipedia.org//wiki/Kimi_Verma"
"256","Kim Sharma","https://en.wikipedia.org//wiki/Kim_Sharma"
"257","Kiran Rathod","https://en.wikipedia.org//wiki/Kiran_Rathod"
"258","Kirron Kher","https://en.wikipedia.org//wiki/Kirron_Kher"
"259","Kirat Bhattal","https://en.wikipedia.org//wiki/Kirat_Bhattal"
"260","Kitu Gidwani","https://en.wikipedia.org//wiki/Kitu_Gidwani"
"261","Koel Mallick","https://en.wikipedia.org//wiki/Koel_Mallick"
"262","Koel Purie","https://en.wikipedia.org//wiki/Koel_Purie"
"263","Koena Mitra","https://en.wikipedia.org//wiki/Koena_Mitra"
"264","Komal","https://en.wikipedia.org//wiki/Komal"
"265","Konkona Sen Sharma","https://en.wikipedia.org//wiki/Konkona_Sen_Sharma"
"266","K. R. Vijaya","https://en.wikipedia.org//wiki/K._R._Vijaya"
"267","Krishna Kumari","https://en.wikipedia.org//wiki/Krishna_Kumari_(actress)"
"268","Kranti Redkar","https://en.wikipedia.org//wiki/Kranti_Redkar"
"269","Kriti Kharbanda","https://en.wikipedia.org//wiki/Kriti_Kharbanda"
"270","Kriti Sanon","https://en.wikipedia.org//wiki/Kriti_Sanon"
"271","Kushboo","https://en.wikipedia.org//wiki/Kushboo"
"272","Kumari","https://en.wikipedia.org//wiki/Kumari_(actress)"
"273","Kumkum","https://en.wikipedia.org//wiki/Kumkum_(actress)"
"274","Kuljeet Randhawa","https://en.wikipedia.org//wiki/Kuljeet_Randhawa"
"275","Kulraj Randhawa","https://en.wikipedia.org//wiki/Kulraj_Randhawa"
"276","Krystle D'Souza","https://en.wikipedia.org//wiki/Krystle_D%27Souza"
"277","Kainaat Arora","https://en.wikipedia.org//wiki/Kainaat_Arora"
"278","Laila Mehdin","https://en.wikipedia.org//wiki/Laila_Mehdin"
"279","Lalita Pawar","https://en.wikipedia.org//wiki/Lalita_Pawar"
"280","Lalitha","https://en.wikipedia.org//wiki/KPAC_Lalitha"
"281","Lalitha","https://en.wikipedia.org//wiki/Travancore_Sisters"
"282","Lara Dutta","https://en.wikipedia.org//wiki/Lara_Dutta"
"283","Lakshmi","https://en.wikipedia.org//wiki/Lakshmi_(actress)"
"284","Lakshmi Gopalaswamy","https://en.wikipedia.org//wiki/Lakshmi_Gopalaswamy"
"285","Lakshmi Manchu","https://en.wikipedia.org//wiki/Lakshmi_Manchu"
"286","Lakshmi Menon","https://en.wikipedia.org//wiki/Lakshmi_Menon_(actress)"
"287","Lakshmi Rai","https://en.wikipedia.org//wiki/Lakshmi_Rai"
"288","Lauren Gottlieb","https://en.wikipedia.org//wiki/Lauren_Gottlieb"
"289","Lavanya Tripathi","https://en.wikipedia.org//wiki/Lavanya_Tripathi"
"290","Laya","https://en.wikipedia.org//wiki/Laya_(actress)"
"291","Leela Chitnis","https://en.wikipedia.org//wiki/Leela_Chitnis"
"292","Leelavathi","https://en.wikipedia.org//wiki/Leelavathi_(actress)"
"293","Leena Chandavarkar","https://en.wikipedia.org//wiki/Leena_Chandavarkar"
"294","Lekha Washington","https://en.wikipedia.org//wiki/Lekha_Washington"
"295","Leslie Tripathy","https://en.wikipedia.org//wiki/Leslie_Tripathy"
"296","Lilette Dubey","https://en.wikipedia.org//wiki/Lilette_Dubey"
"297","Lisa Ray","https://en.wikipedia.org//wiki/Lisa_Ray"
"298","Lisa Haydon","https://en.wikipedia.org//wiki/Lisa_Haydon"
"299","Madhavi","https://en.wikipedia.org//wiki/Madhavi_(actress)"
